2023-03-05 00:00:31,892 DEBUG ==> yd : 2023-03-04, td: 2023-03-05, cd: 2023-03-04 23:59:31, qcd: 2023-03-04 23:58:31, count:0
2023-03-05 00:01:31,457 DEBUG ==> yd : 2023-03-04, td: 2023-03-05, cd: 2023-03-05 00:00:31, qcd: 2023-03-04 23:59:31, count:0
2023-03-05 00:02:31,487 DEBUG ==> yd : 2023-03-04, td: 2023-03-05, cd: 2023-03-05 00:01:31, qcd: 2023-03-05 00:00:31, count:0
2023-03-05 00:03:31,472 DEBUG ==> yd : 2023-03-04, td: 2023-03-05, cd: 2023-03-05 00:02:31, qcd: 2023-03-05 00:01:31, count:0
2023-03-05 00:04:31,459 DEBUG ==> yd : 2023-03-04, td: 2023-03-05, cd: 2023-03-05 00:03:31, qcd: 2023-03-05 00:02:31, count:0
2023-03-05 00:05:31,628 DEBUG ==> yd : 2023-03-04, td: 2023-03-05, cd: 2023-03-05 00:04:31, qcd: 2023-03-05 00:03:31, count:0
2023-03-05 00:06:31,550 DEBUG ==> yd : 2023-03-04, td: 2023-03-05, cd: 2023-03-05 00:05:31, qcd: 2023-03-05 00:04:31, count:0
2023-03-05 00:07:31,583 DEBUG ==> yd : 2023-03-04, td: 2023-03-05, cd: 2023-03-05 00:06:31, qcd: 2023-03-05 00:05:31, count:0
2023-03-05 00:08:31,463 DEBUG ==> yd : 2023-03-04, td: 2023-03-05, cd: 2023-03-05 00:07:31, qcd: 2023-03-05 00:06:31, count:0
2023-03-05 00:09:31,477 DEBUG ==> yd : 2023-03-04, td: 2023-03-05, cd: 2023-03-05 00:08:31, qcd: 2023-03-05 00:07:31, count:0
2023-03-05 00:10:31,872 DEBUG ==> yd : 2023-03-04, td: 2023-03-05, cd: 2023-03-05 00:09:31, qcd: 2023-03-05 00:08:31, count:0
2023-03-05 00:11:31,491 DEBUG ==> yd : 2023-03-04, td: 2023-03-05, cd: 2023-03-05 00:10:31, qcd: 2023-03-05 00:09:31, count:0
2023-03-05 00:12:31,658 DEBUG ==> yd : 2023-03-04, td: 2023-03-05, cd: 2023-03-05 00:11:31, qcd: 2023-03-05 00:10:31, count:0
2023-03-05 00:13:31,473 DEBUG ==> yd : 2023-03-04, td: 2023-03-05, cd: 2023-03-05 00:12:31, qcd: 2023-03-05 00:11:31, count:0
2023-03-05 00:14:31,483 DEBUG ==> yd : 2023-03-04, td: 2023-03-05, cd: 2023-03-05 00:13:31, qcd: 2023-03-05 00:12:31, count:0
2023-03-05 00:15:31,773 DEBUG ==> yd : 2023-03-04, td: 2023-03-05, cd: 2023-03-05 00:14:31, qcd: 2023-03-05 00:13:31, count:0
2023-03-05 00:16:31,496 DEBUG ==> yd : 2023-03-04, td: 2023-03-05, cd: 2023-03-05 00:15:31, qcd: 2023-03-05 00:14:31, count:0
2023-03-05 00:17:31,522 DEBUG ==> yd : 2023-03-04, td: 2023-03-05, cd: 2023-03-05 00:16:31, qcd: 2023-03-05 00:15:31, count:0
2023-03-05 00:18:31,445 DEBUG ==> yd : 2023-03-04, td: 2023-03-05, cd: 2023-03-05 00:17:31, qcd: 2023-03-05 00:16:31, count:0
2023-03-05 00:19:31,471 DEBUG ==> yd : 2023-03-04, td: 2023-03-05, cd: 2023-03-05 00:18:31, qcd: 2023-03-05 00:17:31, count:0
2023-03-05 00:20:31,439 DEBUG ==> yd : 2023-03-04, td: 2023-03-05, cd: 2023-03-05 00:19:31, qcd: 2023-03-05 00:18:31, count:0
2023-03-05 00:21:31,473 DEBUG ==> yd : 2023-03-04, td: 2023-03-05, cd: 2023-03-05 00:20:31, qcd: 2023-03-05 00:19:31, count:0
2023-03-05 00:22:31,471 DEBUG ==> yd : 2023-03-04, td: 2023-03-05, cd: 2023-03-05 00:21:31, qcd: 2023-03-05 00:20:31, count:0
2023-03-05 00:23:31,442 DEBUG ==> yd : 2023-03-04, td: 2023-03-05, cd: 2023-03-05 00:22:31, qcd: 2023-03-05 00:21:31, count:0
2023-03-05 00:24:31,554 DEBUG ==> yd : 2023-03-04, td: 2023-03-05, cd: 2023-03-05 00:23:31, qcd: 2023-03-05 00:22:31, count:0
2023-03-05 00:25:31,511 DEBUG ==> yd : 2023-03-04, td: 2023-03-05, cd: 2023-03-05 00:24:31, qcd: 2023-03-05 00:23:31, count:0
2023-03-05 00:26:31,459 DEBUG ==> yd : 2023-03-04, td: 2023-03-05, cd: 2023-03-05 00:25:31, qcd: 2023-03-05 00:24:31, count:0
2023-03-05 00:27:31,641 DEBUG ==> yd : 2023-03-04, td: 2023-03-05, cd: 2023-03-05 00:26:31, qcd: 2023-03-05 00:25:31, count:0
2023-03-05 00:28:31,519 DEBUG ==> yd : 2023-03-04, td: 2023-03-05, cd: 2023-03-05 00:27:31, qcd: 2023-03-05 00:26:31, count:0
