2023-01-27 00:00:32,102 DEBUG ==> yd : 2023-01-26, td: 2023-01-27, cd: 2023-01-26 23:59:30, qcd: 2023-01-26 23:58:30, count:0
2023-01-27 00:01:31,759 DEBUG ==> yd : 2023-01-26, td: 2023-01-27, cd: 2023-01-27 00:00:31, qcd: 2023-01-26 23:59:31, count:0
2023-01-27 00:02:31,810 DEBUG ==> yd : 2023-01-26, td: 2023-01-27, cd: 2023-01-27 00:01:31, qcd: 2023-01-27 00:00:31, count:0
2023-01-27 00:03:31,752 DEBUG ==> yd : 2023-01-26, td: 2023-01-27, cd: 2023-01-27 00:02:31, qcd: 2023-01-27 00:01:31, count:0
2023-01-27 00:04:31,840 DEBUG ==> yd : 2023-01-26, td: 2023-01-27, cd: 2023-01-27 00:03:31, qcd: 2023-01-27 00:02:31, count:0
2023-01-27 00:05:31,780 DEBUG ==> yd : 2023-01-26, td: 2023-01-27, cd: 2023-01-27 00:04:31, qcd: 2023-01-27 00:03:31, count:0
2023-01-27 00:06:31,802 DEBUG ==> yd : 2023-01-26, td: 2023-01-27, cd: 2023-01-27 00:05:31, qcd: 2023-01-27 00:04:31, count:0
2023-01-27 00:07:31,650 DEBUG ==> yd : 2023-01-26, td: 2023-01-27, cd: 2023-01-27 00:06:31, qcd: 2023-01-27 00:05:31, count:0
2023-01-27 00:08:31,653 DEBUG ==> yd : 2023-01-26, td: 2023-01-27, cd: 2023-01-27 00:07:31, qcd: 2023-01-27 00:06:31, count:0
2023-01-27 00:09:31,686 DEBUG ==> yd : 2023-01-26, td: 2023-01-27, cd: 2023-01-27 00:08:31, qcd: 2023-01-27 00:07:31, count:0
2023-01-27 00:10:31,745 DEBUG ==> yd : 2023-01-26, td: 2023-01-27, cd: 2023-01-27 00:09:31, qcd: 2023-01-27 00:08:31, count:0
2023-01-27 00:11:31,750 DEBUG ==> yd : 2023-01-26, td: 2023-01-27, cd: 2023-01-27 00:10:31, qcd: 2023-01-27 00:09:31, count:0
2023-01-27 00:12:31,780 DEBUG ==> yd : 2023-01-26, td: 2023-01-27, cd: 2023-01-27 00:11:31, qcd: 2023-01-27 00:10:31, count:0
2023-01-27 00:13:31,811 DEBUG ==> yd : 2023-01-26, td: 2023-01-27, cd: 2023-01-27 00:12:31, qcd: 2023-01-27 00:11:31, count:0
2023-01-27 00:14:31,168 DEBUG ==> yd : 2023-01-26, td: 2023-01-27, cd: 2023-01-27 00:13:31, qcd: 2023-01-27 00:12:31, count:0
2023-01-27 00:15:31,817 DEBUG ==> yd : 2023-01-26, td: 2023-01-27, cd: 2023-01-27 00:14:30, qcd: 2023-01-27 00:13:30, count:0
2023-01-27 00:16:32,112 DEBUG ==> yd : 2023-01-26, td: 2023-01-27, cd: 2023-01-27 00:15:31, qcd: 2023-01-27 00:14:31, count:0
2023-01-27 00:17:31,840 DEBUG ==> yd : 2023-01-26, td: 2023-01-27, cd: 2023-01-27 00:16:31, qcd: 2023-01-27 00:15:31, count:0
2023-01-27 00:18:31,824 DEBUG ==> yd : 2023-01-26, td: 2023-01-27, cd: 2023-01-27 00:17:31, qcd: 2023-01-27 00:16:31, count:0
2023-01-27 00:19:31,834 DEBUG ==> yd : 2023-01-26, td: 2023-01-27, cd: 2023-01-27 00:18:31, qcd: 2023-01-27 00:17:31, count:0
2023-01-27 00:20:31,855 DEBUG ==> yd : 2023-01-26, td: 2023-01-27, cd: 2023-01-27 00:19:31, qcd: 2023-01-27 00:18:31, count:0
2023-01-27 00:21:31,800 DEBUG ==> yd : 2023-01-26, td: 2023-01-27, cd: 2023-01-27 00:20:31, qcd: 2023-01-27 00:19:31, count:0
2023-01-27 00:22:31,780 DEBUG ==> yd : 2023-01-26, td: 2023-01-27, cd: 2023-01-27 00:21:31, qcd: 2023-01-27 00:20:31, count:0
2023-01-27 00:23:31,794 DEBUG ==> yd : 2023-01-26, td: 2023-01-27, cd: 2023-01-27 00:22:31, qcd: 2023-01-27 00:21:31, count:0
2023-01-27 00:24:31,788 DEBUG ==> yd : 2023-01-26, td: 2023-01-27, cd: 2023-01-27 00:23:31, qcd: 2023-01-27 00:22:31, count:0
