2023-04-29 00:00:32,064 DEBUG ==> yd : 2023-04-28, td: 2023-04-29, cd: 2023-04-28 23:59:31, qcd: 2023-04-28 23:58:31, count:0
2023-04-29 00:01:32,264 DEBUG ==> yd : 2023-04-28, td: 2023-04-29, cd: 2023-04-29 00:00:31, qcd: 2023-04-28 23:59:31, count:0
2023-04-29 00:02:31,953 DEBUG ==> yd : 2023-04-28, td: 2023-04-29, cd: 2023-04-29 00:01:31, qcd: 2023-04-29 00:00:31, count:0
2023-04-29 00:03:31,938 DEBUG ==> yd : 2023-04-28, td: 2023-04-29, cd: 2023-04-29 00:02:31, qcd: 2023-04-29 00:01:31, count:0
2023-04-29 00:04:31,985 DEBUG ==> yd : 2023-04-28, td: 2023-04-29, cd: 2023-04-29 00:03:31, qcd: 2023-04-29 00:02:31, count:0
2023-04-29 00:05:31,996 DEBUG ==> yd : 2023-04-28, td: 2023-04-29, cd: 2023-04-29 00:04:31, qcd: 2023-04-29 00:03:31, count:0
2023-04-29 00:06:32,013 DEBUG ==> yd : 2023-04-28, td: 2023-04-29, cd: 2023-04-29 00:05:31, qcd: 2023-04-29 00:04:31, count:0
2023-04-29 00:07:32,262 DEBUG ==> yd : 2023-04-28, td: 2023-04-29, cd: 2023-04-29 00:06:31, qcd: 2023-04-29 00:05:31, count:0
2023-04-29 00:08:31,985 DEBUG ==> yd : 2023-04-28, td: 2023-04-29, cd: 2023-04-29 00:07:31, qcd: 2023-04-29 00:06:31, count:0
2023-04-29 00:09:32,257 DEBUG ==> yd : 2023-04-28, td: 2023-04-29, cd: 2023-04-29 00:08:31, qcd: 2023-04-29 00:07:31, count:0
2023-04-29 00:10:31,983 DEBUG ==> yd : 2023-04-28, td: 2023-04-29, cd: 2023-04-29 00:09:31, qcd: 2023-04-29 00:08:31, count:0
2023-04-29 00:11:31,999 DEBUG ==> yd : 2023-04-28, td: 2023-04-29, cd: 2023-04-29 00:10:31, qcd: 2023-04-29 00:09:31, count:0
2023-04-29 00:12:31,991 DEBUG ==> yd : 2023-04-28, td: 2023-04-29, cd: 2023-04-29 00:11:31, qcd: 2023-04-29 00:10:31, count:0
2023-04-29 00:13:32,388 DEBUG ==> yd : 2023-04-28, td: 2023-04-29, cd: 2023-04-29 00:12:31, qcd: 2023-04-29 00:11:31, count:0
2023-04-29 00:14:31,993 DEBUG ==> yd : 2023-04-28, td: 2023-04-29, cd: 2023-04-29 00:13:32, qcd: 2023-04-29 00:12:32, count:0
2023-04-29 00:15:32,033 DEBUG ==> yd : 2023-04-28, td: 2023-04-29, cd: 2023-04-29 00:14:31, qcd: 2023-04-29 00:13:31, count:0
2023-04-29 00:16:32,028 DEBUG ==> yd : 2023-04-28, td: 2023-04-29, cd: 2023-04-29 00:15:31, qcd: 2023-04-29 00:14:31, count:0
2023-04-29 00:17:32,022 DEBUG ==> yd : 2023-04-28, td: 2023-04-29, cd: 2023-04-29 00:16:31, qcd: 2023-04-29 00:15:31, count:0
2023-04-29 00:18:31,947 DEBUG ==> yd : 2023-04-28, td: 2023-04-29, cd: 2023-04-29 00:17:31, qcd: 2023-04-29 00:16:31, count:0
2023-04-29 00:19:31,962 DEBUG ==> yd : 2023-04-28, td: 2023-04-29, cd: 2023-04-29 00:18:31, qcd: 2023-04-29 00:17:31, count:0
2023-04-29 00:20:32,273 DEBUG ==> yd : 2023-04-28, td: 2023-04-29, cd: 2023-04-29 00:19:31, qcd: 2023-04-29 00:18:31, count:0
2023-04-29 00:21:31,995 DEBUG ==> yd : 2023-04-28, td: 2023-04-29, cd: 2023-04-29 00:20:31, qcd: 2023-04-29 00:19:31, count:0
2023-04-29 00:22:32,307 DEBUG ==> yd : 2023-04-28, td: 2023-04-29, cd: 2023-04-29 00:21:31, qcd: 2023-04-29 00:20:31, count:0
2023-04-29 00:23:31,994 DEBUG ==> yd : 2023-04-28, td: 2023-04-29, cd: 2023-04-29 00:22:31, qcd: 2023-04-29 00:21:31, count:0
2023-04-29 00:24:32,281 DEBUG ==> yd : 2023-04-28, td: 2023-04-29, cd: 2023-04-29 00:23:31, qcd: 2023-04-29 00:22:31, count:0
2023-04-29 00:25:31,994 DEBUG ==> yd : 2023-04-28, td: 2023-04-29, cd: 2023-04-29 00:24:31, qcd: 2023-04-29 00:23:31, count:0
2023-04-29 00:26:32,020 DEBUG ==> yd : 2023-04-28, td: 2023-04-29, cd: 2023-04-29 00:25:31, qcd: 2023-04-29 00:24:31, count:0
