2023-09-27 00:00:32,423 DEBUG ==> yd : 2023-09-26, td: 2023-09-27, cd: 2023-09-26 23:59:32, qcd: 2023-09-26 23:58:32, count:0
2023-09-27 00:01:32,319 DEBUG ==> yd : 2023-09-26, td: 2023-09-27, cd: 2023-09-27 00:00:32, qcd: 2023-09-26 23:59:32, count:0
2023-09-27 00:02:32,335 DEBUG ==> yd : 2023-09-26, td: 2023-09-27, cd: 2023-09-27 00:01:32, qcd: 2023-09-27 00:00:32, count:0
2023-09-27 00:03:32,357 DEBUG ==> yd : 2023-09-26, td: 2023-09-27, cd: 2023-09-27 00:02:32, qcd: 2023-09-27 00:01:32, count:0
2023-09-27 00:04:32,310 DEBUG ==> yd : 2023-09-26, td: 2023-09-27, cd: 2023-09-27 00:03:32, qcd: 2023-09-27 00:02:32, count:0
2023-09-27 00:05:32,329 DEBUG ==> yd : 2023-09-26, td: 2023-09-27, cd: 2023-09-27 00:04:32, qcd: 2023-09-27 00:03:32, count:0
2023-09-27 00:06:32,356 DEBUG ==> yd : 2023-09-26, td: 2023-09-27, cd: 2023-09-27 00:05:32, qcd: 2023-09-27 00:04:32, count:0
2023-09-27 00:07:32,358 DEBUG ==> yd : 2023-09-26, td: 2023-09-27, cd: 2023-09-27 00:06:32, qcd: 2023-09-27 00:05:32, count:0
2023-09-27 00:08:32,405 DEBUG ==> yd : 2023-09-26, td: 2023-09-27, cd: 2023-09-27 00:07:32, qcd: 2023-09-27 00:06:32, count:0
2023-09-27 00:09:32,333 DEBUG ==> yd : 2023-09-26, td: 2023-09-27, cd: 2023-09-27 00:08:32, qcd: 2023-09-27 00:07:32, count:0
2023-09-27 00:10:32,407 DEBUG ==> yd : 2023-09-26, td: 2023-09-27, cd: 2023-09-27 00:09:32, qcd: 2023-09-27 00:08:32, count:0
2023-09-27 00:11:32,317 DEBUG ==> yd : 2023-09-26, td: 2023-09-27, cd: 2023-09-27 00:10:32, qcd: 2023-09-27 00:09:32, count:0
2023-09-27 00:12:32,320 DEBUG ==> yd : 2023-09-26, td: 2023-09-27, cd: 2023-09-27 00:11:32, qcd: 2023-09-27 00:10:32, count:0
2023-09-27 00:13:32,304 DEBUG ==> yd : 2023-09-26, td: 2023-09-27, cd: 2023-09-27 00:12:32, qcd: 2023-09-27 00:11:32, count:0
2023-09-27 00:14:32,369 DEBUG ==> yd : 2023-09-26, td: 2023-09-27, cd: 2023-09-27 00:13:32, qcd: 2023-09-27 00:12:32, count:0
2023-09-27 00:15:32,386 DEBUG ==> yd : 2023-09-26, td: 2023-09-27, cd: 2023-09-27 00:14:32, qcd: 2023-09-27 00:13:32, count:0
2023-09-27 00:16:32,331 DEBUG ==> yd : 2023-09-26, td: 2023-09-27, cd: 2023-09-27 00:15:32, qcd: 2023-09-27 00:14:32, count:0
2023-09-27 00:17:32,621 DEBUG ==> yd : 2023-09-26, td: 2023-09-27, cd: 2023-09-27 00:16:32, qcd: 2023-09-27 00:15:32, count:0
2023-09-27 00:18:32,292 DEBUG ==> yd : 2023-09-26, td: 2023-09-27, cd: 2023-09-27 00:17:32, qcd: 2023-09-27 00:16:32, count:0
2023-09-27 00:19:32,381 DEBUG ==> yd : 2023-09-26, td: 2023-09-27, cd: 2023-09-27 00:18:32, qcd: 2023-09-27 00:17:32, count:0
2023-09-27 00:20:32,385 DEBUG ==> yd : 2023-09-26, td: 2023-09-27, cd: 2023-09-27 00:19:32, qcd: 2023-09-27 00:18:32, count:0
2023-09-27 00:21:32,413 DEBUG ==> yd : 2023-09-26, td: 2023-09-27, cd: 2023-09-27 00:20:32, qcd: 2023-09-27 00:19:32, count:0
2023-09-27 00:22:32,355 DEBUG ==> yd : 2023-09-26, td: 2023-09-27, cd: 2023-09-27 00:21:32, qcd: 2023-09-27 00:20:32, count:0
2023-09-27 00:23:32,584 DEBUG ==> yd : 2023-09-26, td: 2023-09-27, cd: 2023-09-27 00:22:32, qcd: 2023-09-27 00:21:32, count:0
2023-09-27 00:24:32,386 DEBUG ==> yd : 2023-09-26, td: 2023-09-27, cd: 2023-09-27 00:23:32, qcd: 2023-09-27 00:22:32, count:0
2023-09-27 00:25:32,371 DEBUG ==> yd : 2023-09-26, td: 2023-09-27, cd: 2023-09-27 00:24:32, qcd: 2023-09-27 00:23:32, count:0
2023-09-27 00:26:32,363 DEBUG ==> yd : 2023-09-26, td: 2023-09-27, cd: 2023-09-27 00:25:32, qcd: 2023-09-27 00:24:32, count:0
2023-09-27 00:27:32,389 DEBUG ==> yd : 2023-09-26, td: 2023-09-27, cd: 2023-09-27 00:26:32, qcd: 2023-09-27 00:25:32, count:0
2023-09-27 00:28:32,395 DEBUG ==> yd : 2023-09-26, td: 2023-09-27, cd: 2023-09-27 00:27:32, qcd: 2023-09-27 00:26:32, count:0
2023-09-27 00:29:32,354 DEBUG ==> yd : 2023-09-26, td: 2023-09-27, cd: 2023-09-27 00:28:32, qcd: 2023-09-27 00:27:32, count:0
2023-09-27 00:30:32,311 DEBUG ==> yd : 2023-09-26, td: 2023-09-27, cd: 2023-09-27 00:29:32, qcd: 2023-09-27 00:28:32, count:0
2023-09-27 00:31:32,428 DEBUG ==> yd : 2023-09-26, td: 2023-09-27, cd: 2023-09-27 00:30:32, qcd: 2023-09-27 00:29:32, count:0
2023-09-27 00:32:32,609 DEBUG ==> yd : 2023-09-26, td: 2023-09-27, cd: 2023-09-27 00:31:32, qcd: 2023-09-27 00:30:32, count:0
2023-09-27 00:33:32,589 DEBUG ==> yd : 2023-09-26, td: 2023-09-27, cd: 2023-09-27 00:32:32, qcd: 2023-09-27 00:31:32, count:0
2023-09-27 00:34:32,367 DEBUG ==> yd : 2023-09-26, td: 2023-09-27, cd: 2023-09-27 00:33:32, qcd: 2023-09-27 00:32:32, count:0
2023-09-27 00:35:32,347 DEBUG ==> yd : 2023-09-26, td: 2023-09-27, cd: 2023-09-27 00:34:32, qcd: 2023-09-27 00:33:32, count:0
2023-09-27 00:36:32,339 DEBUG ==> yd : 2023-09-26, td: 2023-09-27, cd: 2023-09-27 00:35:32, qcd: 2023-09-27 00:34:32, count:0
2023-09-27 00:37:32,418 DEBUG ==> yd : 2023-09-26, td: 2023-09-27, cd: 2023-09-27 00:36:32, qcd: 2023-09-27 00:35:32, count:0
2023-09-27 00:38:32,542 DEBUG ==> yd : 2023-09-26, td: 2023-09-27, cd: 2023-09-27 00:37:32, qcd: 2023-09-27 00:36:32, count:0
