2022-12-09 00:00:32,568 DEBUG ==> yd : 2022-12-08, td: 2022-12-09, cd: 2022-12-08 23:59:32, qcd: 2022-12-08 23:58:32, count:0
2022-12-09 00:01:32,296 DEBUG ==> yd : 2022-12-08, td: 2022-12-09, cd: 2022-12-09 00:00:32, qcd: 2022-12-08 23:59:32, count:0
2022-12-09 00:02:32,313 DEBUG ==> yd : 2022-12-08, td: 2022-12-09, cd: 2022-12-09 00:01:32, qcd: 2022-12-09 00:00:32, count:0
2022-12-09 00:03:32,295 DEBUG ==> yd : 2022-12-08, td: 2022-12-09, cd: 2022-12-09 00:02:32, qcd: 2022-12-09 00:01:32, count:0
2022-12-09 00:04:32,329 DEBUG ==> yd : 2022-12-08, td: 2022-12-09, cd: 2022-12-09 00:03:32, qcd: 2022-12-09 00:02:32, count:0
2022-12-09 00:05:32,276 DEBUG ==> yd : 2022-12-08, td: 2022-12-09, cd: 2022-12-09 00:04:32, qcd: 2022-12-09 00:03:32, count:0
2022-12-09 00:06:32,522 DEBUG ==> yd : 2022-12-08, td: 2022-12-09, cd: 2022-12-09 00:05:32, qcd: 2022-12-09 00:04:32, count:0
2022-12-09 00:07:32,195 DEBUG ==> yd : 2022-12-08, td: 2022-12-09, cd: 2022-12-09 00:06:32, qcd: 2022-12-09 00:05:32, count:0
2022-12-09 00:08:32,487 DEBUG ==> yd : 2022-12-08, td: 2022-12-09, cd: 2022-12-09 00:07:31, qcd: 2022-12-09 00:06:31, count:0
2022-12-09 00:09:32,256 DEBUG ==> yd : 2022-12-08, td: 2022-12-09, cd: 2022-12-09 00:08:32, qcd: 2022-12-09 00:07:32, count:0
2022-12-09 00:10:32,285 DEBUG ==> yd : 2022-12-08, td: 2022-12-09, cd: 2022-12-09 00:09:31, qcd: 2022-12-09 00:08:31, count:0
2022-12-09 00:11:32,449 DEBUG ==> yd : 2022-12-08, td: 2022-12-09, cd: 2022-12-09 00:10:32, qcd: 2022-12-09 00:09:32, count:0
2022-12-09 00:12:32,277 DEBUG ==> yd : 2022-12-08, td: 2022-12-09, cd: 2022-12-09 00:11:32, qcd: 2022-12-09 00:10:32, count:0
2022-12-09 00:13:32,545 DEBUG ==> yd : 2022-12-08, td: 2022-12-09, cd: 2022-12-09 00:12:32, qcd: 2022-12-09 00:11:32, count:0
2022-12-09 00:14:32,327 DEBUG ==> yd : 2022-12-08, td: 2022-12-09, cd: 2022-12-09 00:13:32, qcd: 2022-12-09 00:12:32, count:0
2022-12-09 00:15:32,312 DEBUG ==> yd : 2022-12-08, td: 2022-12-09, cd: 2022-12-09 00:14:32, qcd: 2022-12-09 00:13:32, count:0
2022-12-09 00:16:32,332 DEBUG ==> yd : 2022-12-08, td: 2022-12-09, cd: 2022-12-09 00:15:32, qcd: 2022-12-09 00:14:32, count:0
2022-12-09 00:17:32,559 DEBUG ==> yd : 2022-12-08, td: 2022-12-09, cd: 2022-12-09 00:16:32, qcd: 2022-12-09 00:15:32, count:0
2022-12-09 00:18:32,412 DEBUG ==> yd : 2022-12-08, td: 2022-12-09, cd: 2022-12-09 00:17:32, qcd: 2022-12-09 00:16:32, count:0
2022-12-09 00:19:32,630 DEBUG ==> yd : 2022-12-08, td: 2022-12-09, cd: 2022-12-09 00:18:32, qcd: 2022-12-09 00:17:32, count:0
2022-12-09 00:20:32,264 DEBUG ==> yd : 2022-12-08, td: 2022-12-09, cd: 2022-12-09 00:19:32, qcd: 2022-12-09 00:18:32, count:0
2022-12-09 00:21:32,192 DEBUG ==> yd : 2022-12-08, td: 2022-12-09, cd: 2022-12-09 00:20:31, qcd: 2022-12-09 00:19:31, count:0
