2023-09-10 00:00:32,163 DEBUG ==> yd : 2023-09-09, td: 2023-09-10, cd: 2023-09-09 23:59:31, qcd: 2023-09-09 23:58:31, count:0
2023-09-10 00:01:32,211 DEBUG ==> yd : 2023-09-09, td: 2023-09-10, cd: 2023-09-10 00:00:31, qcd: 2023-09-09 23:59:31, count:0
2023-09-10 00:02:32,194 DEBUG ==> yd : 2023-09-09, td: 2023-09-10, cd: 2023-09-10 00:01:31, qcd: 2023-09-10 00:00:31, count:0
2023-09-10 00:03:32,175 DEBUG ==> yd : 2023-09-09, td: 2023-09-10, cd: 2023-09-10 00:02:31, qcd: 2023-09-10 00:01:31, count:0
2023-09-10 00:04:32,153 DEBUG ==> yd : 2023-09-09, td: 2023-09-10, cd: 2023-09-10 00:03:31, qcd: 2023-09-10 00:02:31, count:0
2023-09-10 00:05:32,197 DEBUG ==> yd : 2023-09-09, td: 2023-09-10, cd: 2023-09-10 00:04:31, qcd: 2023-09-10 00:03:31, count:0
2023-09-10 00:06:32,144 DEBUG ==> yd : 2023-09-09, td: 2023-09-10, cd: 2023-09-10 00:05:31, qcd: 2023-09-10 00:04:31, count:0
2023-09-10 00:07:32,168 DEBUG ==> yd : 2023-09-09, td: 2023-09-10, cd: 2023-09-10 00:06:31, qcd: 2023-09-10 00:05:31, count:0
2023-09-10 00:08:32,166 DEBUG ==> yd : 2023-09-09, td: 2023-09-10, cd: 2023-09-10 00:07:31, qcd: 2023-09-10 00:06:31, count:0
2023-09-10 00:09:32,225 DEBUG ==> yd : 2023-09-09, td: 2023-09-10, cd: 2023-09-10 00:08:31, qcd: 2023-09-10 00:07:31, count:0
2023-09-10 00:10:32,284 DEBUG ==> yd : 2023-09-09, td: 2023-09-10, cd: 2023-09-10 00:09:31, qcd: 2023-09-10 00:08:31, count:0
2023-09-10 00:11:32,197 DEBUG ==> yd : 2023-09-09, td: 2023-09-10, cd: 2023-09-10 00:10:31, qcd: 2023-09-10 00:09:31, count:0
2023-09-10 00:12:32,166 DEBUG ==> yd : 2023-09-09, td: 2023-09-10, cd: 2023-09-10 00:11:31, qcd: 2023-09-10 00:10:31, count:0
2023-09-10 00:13:32,207 DEBUG ==> yd : 2023-09-09, td: 2023-09-10, cd: 2023-09-10 00:12:31, qcd: 2023-09-10 00:11:31, count:0
2023-09-10 00:14:32,206 DEBUG ==> yd : 2023-09-09, td: 2023-09-10, cd: 2023-09-10 00:13:31, qcd: 2023-09-10 00:12:31, count:0
2023-09-10 00:15:32,211 DEBUG ==> yd : 2023-09-09, td: 2023-09-10, cd: 2023-09-10 00:14:31, qcd: 2023-09-10 00:13:31, count:0
2023-09-10 00:16:32,196 DEBUG ==> yd : 2023-09-09, td: 2023-09-10, cd: 2023-09-10 00:15:31, qcd: 2023-09-10 00:14:31, count:0
2023-09-10 00:17:32,197 DEBUG ==> yd : 2023-09-09, td: 2023-09-10, cd: 2023-09-10 00:16:31, qcd: 2023-09-10 00:15:31, count:0
2023-09-10 00:18:32,171 DEBUG ==> yd : 2023-09-09, td: 2023-09-10, cd: 2023-09-10 00:17:31, qcd: 2023-09-10 00:16:31, count:0
2023-09-10 00:19:32,206 DEBUG ==> yd : 2023-09-09, td: 2023-09-10, cd: 2023-09-10 00:18:31, qcd: 2023-09-10 00:17:31, count:0
2023-09-10 00:20:32,143 DEBUG ==> yd : 2023-09-09, td: 2023-09-10, cd: 2023-09-10 00:19:31, qcd: 2023-09-10 00:18:31, count:0
2023-09-10 00:21:32,220 DEBUG ==> yd : 2023-09-09, td: 2023-09-10, cd: 2023-09-10 00:20:31, qcd: 2023-09-10 00:19:31, count:0
2023-09-10 00:22:32,186 DEBUG ==> yd : 2023-09-09, td: 2023-09-10, cd: 2023-09-10 00:21:31, qcd: 2023-09-10 00:20:31, count:0
2023-09-10 00:23:32,248 DEBUG ==> yd : 2023-09-09, td: 2023-09-10, cd: 2023-09-10 00:22:31, qcd: 2023-09-10 00:21:31, count:0
2023-09-10 00:24:32,173 DEBUG ==> yd : 2023-09-09, td: 2023-09-10, cd: 2023-09-10 00:23:31, qcd: 2023-09-10 00:22:31, count:0
2023-09-10 00:25:32,211 DEBUG ==> yd : 2023-09-09, td: 2023-09-10, cd: 2023-09-10 00:24:31, qcd: 2023-09-10 00:23:31, count:0
2023-09-10 00:26:32,287 DEBUG ==> yd : 2023-09-09, td: 2023-09-10, cd: 2023-09-10 00:25:31, qcd: 2023-09-10 00:24:31, count:0
2023-09-10 00:27:32,166 DEBUG ==> yd : 2023-09-09, td: 2023-09-10, cd: 2023-09-10 00:26:31, qcd: 2023-09-10 00:25:31, count:0
