2022-10-30 00:00:02,713 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-29 23:59:02, qcd: 2022-10-29 23:58:02, count:0
2022-10-30 00:01:02,301 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:00:02, qcd: 2022-10-29 23:59:02, count:0
2022-10-30 00:02:02,283 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:01:02, qcd: 2022-10-30 00:00:02, count:0
2022-10-30 00:03:02,265 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:02:02, qcd: 2022-10-30 00:01:02, count:0
2022-10-30 00:04:02,251 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:03:02, qcd: 2022-10-30 00:02:02, count:0
2022-10-30 00:05:02,592 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:04:02, qcd: 2022-10-30 00:03:02, count:0
2022-10-30 00:06:02,265 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:05:02, qcd: 2022-10-30 00:04:02, count:0
2022-10-30 00:07:02,236 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:06:02, qcd: 2022-10-30 00:05:02, count:0
2022-10-30 00:08:02,263 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:07:01, qcd: 2022-10-30 00:06:01, count:0
2022-10-30 00:09:02,255 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:08:02, qcd: 2022-10-30 00:07:02, count:0
2022-10-30 00:10:02,325 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:09:02, qcd: 2022-10-30 00:08:02, count:0
2022-10-30 00:11:02,245 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:10:02, qcd: 2022-10-30 00:09:02, count:0
2022-10-30 00:12:02,340 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:11:02, qcd: 2022-10-30 00:10:02, count:0
2022-10-30 00:13:02,298 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:12:01, qcd: 2022-10-30 00:11:01, count:0
2022-10-30 00:14:02,339 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:13:02, qcd: 2022-10-30 00:12:02, count:0
2022-10-30 00:15:02,357 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:14:02, qcd: 2022-10-30 00:13:02, count:0
2022-10-30 00:16:02,275 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:15:02, qcd: 2022-10-30 00:14:02, count:0
2022-10-30 00:17:02,687 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:16:02, qcd: 2022-10-30 00:15:02, count:0
2022-10-30 00:18:02,298 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:17:02, qcd: 2022-10-30 00:16:02, count:0
2022-10-30 00:19:02,245 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:18:02, qcd: 2022-10-30 00:17:02, count:0
2022-10-30 00:20:02,278 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:19:01, qcd: 2022-10-30 00:18:01, count:0
2022-10-30 00:21:02,320 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:20:02, qcd: 2022-10-30 00:19:02, count:0
2022-10-30 00:22:02,297 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:21:02, qcd: 2022-10-30 00:20:02, count:0
2022-10-30 00:23:02,632 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:22:02, qcd: 2022-10-30 00:21:02, count:0
2022-10-30 00:24:02,509 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:23:02, qcd: 2022-10-30 00:22:02, count:0
2022-10-30 00:25:02,272 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:24:02, qcd: 2022-10-30 00:23:02, count:0
2022-10-30 00:26:02,633 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:25:02, qcd: 2022-10-30 00:24:02, count:0
2022-10-30 00:27:02,287 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:26:02, qcd: 2022-10-30 00:25:02, count:0
2022-10-30 00:28:02,275 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:27:02, qcd: 2022-10-30 00:26:02, count:0
2022-10-30 00:29:02,362 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:28:01, qcd: 2022-10-30 00:27:01, count:0
2022-10-30 00:30:02,386 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:29:02, qcd: 2022-10-30 00:28:02, count:0
2022-10-30 00:31:02,327 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:30:01, qcd: 2022-10-30 00:29:01, count:0
2022-10-30 00:32:02,305 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:31:02, qcd: 2022-10-30 00:30:02, count:0
2022-10-30 00:33:02,279 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:32:02, qcd: 2022-10-30 00:31:02, count:0
2022-10-30 00:34:02,299 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:33:02, qcd: 2022-10-30 00:32:02, count:0
2022-10-30 00:35:02,282 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:34:02, qcd: 2022-10-30 00:33:02, count:0
2022-10-30 00:36:02,282 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:35:02, qcd: 2022-10-30 00:34:02, count:0
2022-10-30 00:37:02,276 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:36:02, qcd: 2022-10-30 00:35:02, count:0
2022-10-30 00:38:02,492 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:37:01, qcd: 2022-10-30 00:36:01, count:0
2022-10-30 00:39:02,397 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:38:02, qcd: 2022-10-30 00:37:02, count:0
2022-10-30 00:40:02,316 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:39:02, qcd: 2022-10-30 00:38:02, count:0
2022-10-30 00:41:02,360 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:40:02, qcd: 2022-10-30 00:39:02, count:0
2022-10-30 00:42:02,296 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:41:01, qcd: 2022-10-30 00:40:01, count:0
2022-10-30 00:43:02,273 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:42:01, qcd: 2022-10-30 00:41:01, count:0
2022-10-30 00:44:02,298 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:43:01, qcd: 2022-10-30 00:42:01, count:0
2022-10-30 00:45:02,579 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:44:01, qcd: 2022-10-30 00:43:01, count:0
2022-10-30 00:46:02,304 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:45:02, qcd: 2022-10-30 00:44:02, count:0
2022-10-30 00:47:02,285 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:46:01, qcd: 2022-10-30 00:45:01, count:0
2022-10-30 00:48:02,322 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:47:01, qcd: 2022-10-30 00:46:01, count:0
2022-10-30 00:49:02,543 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:48:02, qcd: 2022-10-30 00:47:02, count:0
2022-10-30 00:50:02,334 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:49:02, qcd: 2022-10-30 00:48:02, count:0
2022-10-30 00:51:02,335 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:50:02, qcd: 2022-10-30 00:49:02, count:0
2022-10-30 00:52:02,306 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:51:02, qcd: 2022-10-30 00:50:02, count:0
2022-10-30 00:53:02,336 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:52:02, qcd: 2022-10-30 00:51:02, count:0
2022-10-30 00:54:02,280 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:53:01, qcd: 2022-10-30 00:52:01, count:0
2022-10-30 00:55:02,296 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:54:01, qcd: 2022-10-30 00:53:01, count:0
2022-10-30 00:56:02,310 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:55:01, qcd: 2022-10-30 00:54:01, count:0
2022-10-30 00:57:02,575 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:56:01, qcd: 2022-10-30 00:55:01, count:0
2022-10-30 00:58:02,333 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:57:02, qcd: 2022-10-30 00:56:02, count:0
2022-10-30 00:59:02,334 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:58:02, qcd: 2022-10-30 00:57:02, count:0
2022-10-30 01:00:02,391 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 00:59:02, qcd: 2022-10-30 00:58:02, count:0
2022-10-30 01:01:02,724 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:00:02, qcd: 2022-10-30 00:59:02, count:0
2022-10-30 01:02:02,532 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:01:02, qcd: 2022-10-30 01:00:02, count:0
2022-10-30 01:03:02,492 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:02:02, qcd: 2022-10-30 01:01:02, count:0
2022-10-30 01:04:02,749 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:03:02, qcd: 2022-10-30 01:02:02, count:0
2022-10-30 01:05:02,466 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:04:02, qcd: 2022-10-30 01:03:02, count:0
2022-10-30 01:06:02,437 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:05:02, qcd: 2022-10-30 01:04:02, count:0
2022-10-30 01:07:02,382 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:06:02, qcd: 2022-10-30 01:05:02, count:0
2022-10-30 01:08:02,473 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:07:02, qcd: 2022-10-30 01:06:02, count:0
2022-10-30 01:09:02,360 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:08:02, qcd: 2022-10-30 01:07:02, count:0
2022-10-30 01:10:02,760 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:09:02, qcd: 2022-10-30 01:08:02, count:0
2022-10-30 01:11:02,401 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:10:02, qcd: 2022-10-30 01:09:02, count:0
2022-10-30 01:12:02,347 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:11:02, qcd: 2022-10-30 01:10:02, count:0
2022-10-30 01:13:02,327 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:12:02, qcd: 2022-10-30 01:11:02, count:0
2022-10-30 01:14:02,431 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:13:02, qcd: 2022-10-30 01:12:02, count:0
2022-10-30 01:15:02,613 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:14:02, qcd: 2022-10-30 01:13:02, count:0
2022-10-30 01:16:02,554 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:15:02, qcd: 2022-10-30 01:14:02, count:0
2022-10-30 01:17:02,294 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:16:02, qcd: 2022-10-30 01:15:02, count:0
2022-10-30 01:18:02,365 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:17:01, qcd: 2022-10-30 01:16:01, count:0
2022-10-30 01:19:02,316 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:18:01, qcd: 2022-10-30 01:17:01, count:0
2022-10-30 01:20:02,330 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:19:02, qcd: 2022-10-30 01:18:02, count:0
2022-10-30 01:21:02,679 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:20:02, qcd: 2022-10-30 01:19:02, count:0
2022-10-30 01:22:02,308 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:21:02, qcd: 2022-10-30 01:20:02, count:0
2022-10-30 01:23:02,361 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:22:01, qcd: 2022-10-30 01:21:01, count:0
2022-10-30 01:24:02,385 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:23:02, qcd: 2022-10-30 01:22:02, count:0
2022-10-30 01:25:02,335 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:24:01, qcd: 2022-10-30 01:23:01, count:0
2022-10-30 01:26:02,660 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:25:02, qcd: 2022-10-30 01:24:02, count:0
2022-10-30 01:27:02,241 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:26:02, qcd: 2022-10-30 01:25:02, count:0
2022-10-30 01:28:02,674 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:27:02, qcd: 2022-10-30 01:26:02, count:0
2022-10-30 01:29:02,385 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:28:02, qcd: 2022-10-30 01:27:02, count:0
2022-10-30 01:30:02,331 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:29:02, qcd: 2022-10-30 01:28:02, count:0
2022-10-30 01:31:02,299 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:30:02, qcd: 2022-10-30 01:29:02, count:0
2022-10-30 01:32:02,295 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:31:02, qcd: 2022-10-30 01:30:02, count:0
2022-10-30 01:33:02,414 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:32:02, qcd: 2022-10-30 01:31:02, count:0
2022-10-30 01:34:02,283 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:33:02, qcd: 2022-10-30 01:32:02, count:0
2022-10-30 01:35:02,607 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:34:02, qcd: 2022-10-30 01:33:02, count:0
2022-10-30 01:36:02,373 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:35:02, qcd: 2022-10-30 01:34:02, count:0
2022-10-30 01:37:02,319 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:36:02, qcd: 2022-10-30 01:35:02, count:0
2022-10-30 01:38:02,619 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:37:02, qcd: 2022-10-30 01:36:02, count:0
2022-10-30 01:39:02,318 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:38:02, qcd: 2022-10-30 01:37:02, count:0
2022-10-30 01:40:02,279 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:39:02, qcd: 2022-10-30 01:38:02, count:0
2022-10-30 01:41:02,353 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:40:01, qcd: 2022-10-30 01:39:01, count:0
2022-10-30 01:42:02,261 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:41:02, qcd: 2022-10-30 01:40:02, count:0
2022-10-30 01:43:02,293 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:42:02, qcd: 2022-10-30 01:41:02, count:0
2022-10-30 01:44:02,280 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:43:02, qcd: 2022-10-30 01:42:02, count:0
2022-10-30 01:45:02,295 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:44:02, qcd: 2022-10-30 01:43:02, count:0
2022-10-30 01:46:02,267 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:45:02, qcd: 2022-10-30 01:44:02, count:0
2022-10-30 01:47:02,252 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:46:02, qcd: 2022-10-30 01:45:02, count:0
2022-10-30 01:48:02,256 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:47:01, qcd: 2022-10-30 01:46:01, count:0
2022-10-30 01:49:02,252 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:48:02, qcd: 2022-10-30 01:47:02, count:0
2022-10-30 01:50:02,298 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:49:02, qcd: 2022-10-30 01:48:02, count:0
2022-10-30 01:51:02,272 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:50:02, qcd: 2022-10-30 01:49:02, count:0
2022-10-30 01:52:02,317 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:51:01, qcd: 2022-10-30 01:50:01, count:0
2022-10-30 01:53:02,615 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:52:02, qcd: 2022-10-30 01:51:02, count:0
2022-10-30 01:54:02,355 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:53:02, qcd: 2022-10-30 01:52:02, count:0
2022-10-30 01:55:02,280 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:54:02, qcd: 2022-10-30 01:53:02, count:0
2022-10-30 01:56:02,262 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:55:02, qcd: 2022-10-30 01:54:02, count:0
2022-10-30 01:57:02,283 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:56:01, qcd: 2022-10-30 01:55:01, count:0
2022-10-30 01:58:02,273 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:57:02, qcd: 2022-10-30 01:56:02, count:0
2022-10-30 01:59:02,302 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:58:02, qcd: 2022-10-30 01:57:02, count:0
2022-10-30 02:00:02,322 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 01:59:02, qcd: 2022-10-30 01:58:02, count:0
2022-10-30 02:01:02,266 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 02:00:02, qcd: 2022-10-30 01:59:02, count:0
2022-10-30 02:02:02,265 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 02:01:02, qcd: 2022-10-30 02:00:02, count:0
2022-10-30 02:03:02,220 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 02:02:02, qcd: 2022-10-30 02:01:02, count:0
2022-10-30 02:04:02,276 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 02:03:01, qcd: 2022-10-30 02:02:01, count:0
2022-10-30 02:05:02,614 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 02:04:01, qcd: 2022-10-30 02:03:01, count:0
2022-10-30 02:06:02,537 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 02:05:02, qcd: 2022-10-30 02:04:02, count:0
2022-10-30 02:07:02,262 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 02:06:02, qcd: 2022-10-30 02:05:02, count:0
2022-10-30 02:08:02,313 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 02:07:01, qcd: 2022-10-30 02:06:01, count:0
2022-10-30 02:09:02,294 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 02:08:02, qcd: 2022-10-30 02:07:02, count:0
2022-10-30 02:10:02,294 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 02:09:01, qcd: 2022-10-30 02:08:01, count:0
2022-10-30 02:11:02,548 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 02:10:02, qcd: 2022-10-30 02:09:02, count:0
2022-10-30 02:12:02,309 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 02:11:02, qcd: 2022-10-30 02:10:02, count:0
2022-10-30 02:13:02,603 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 02:12:02, qcd: 2022-10-30 02:11:02, count:0
2022-10-30 02:14:02,328 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 02:13:02, qcd: 2022-10-30 02:12:02, count:0
2022-10-30 02:15:02,597 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 02:14:02, qcd: 2022-10-30 02:13:02, count:0
2022-10-30 02:16:02,263 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 02:15:02, qcd: 2022-10-30 02:14:02, count:0
2022-10-30 02:17:02,297 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 02:16:01, qcd: 2022-10-30 02:15:01, count:0
2022-10-30 02:18:02,583 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 02:17:02, qcd: 2022-10-30 02:16:02, count:0
2022-10-30 02:19:02,579 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 02:18:02, qcd: 2022-10-30 02:17:02, count:0
2022-10-30 02:20:02,414 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 02:19:02, qcd: 2022-10-30 02:18:02, count:0
2022-10-30 02:21:02,355 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 02:20:02, qcd: 2022-10-30 02:19:02, count:0
2022-10-30 02:22:02,322 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 02:21:02, qcd: 2022-10-30 02:20:02, count:0
2022-10-30 02:23:02,573 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 02:22:02, qcd: 2022-10-30 02:21:02, count:0
2022-10-30 02:24:02,283 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 02:23:02, qcd: 2022-10-30 02:22:02, count:0
2022-10-30 02:25:02,339 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 02:24:01, qcd: 2022-10-30 02:23:01, count:0
2022-10-30 02:26:02,371 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 02:25:01, qcd: 2022-10-30 02:24:01, count:0
2022-10-30 02:27:02,362 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 02:26:02, qcd: 2022-10-30 02:25:02, count:0
2022-10-30 02:28:02,308 DEBUG ==> yd : 2022-10-29, td: 2022-10-30, cd: 2022-10-30 02:27:02, qcd: 2022-10-30 02:26:02, count:0
