2023-01-01 00:00:32,435 DEBUG ==> yd : 2022-12-31, td: 2023-01-01, cd: 2022-12-31 23:59:32, qcd: 2022-12-31 23:58:32, count:0
2023-01-01 00:01:32,430 DEBUG ==> yd : 2022-12-31, td: 2023-01-01, cd: 2023-01-01 00:00:32, qcd: 2022-12-31 23:59:32, count:0
2023-01-01 00:02:32,385 DEBUG ==> yd : 2022-12-31, td: 2023-01-01, cd: 2023-01-01 00:01:32, qcd: 2023-01-01 00:00:32, count:0
2023-01-01 00:03:32,744 DEBUG ==> yd : 2022-12-31, td: 2023-01-01, cd: 2023-01-01 00:02:32, qcd: 2023-01-01 00:01:32, count:0
2023-01-01 00:04:32,426 DEBUG ==> yd : 2022-12-31, td: 2023-01-01, cd: 2023-01-01 00:03:32, qcd: 2023-01-01 00:02:32, count:0
2023-01-01 00:05:32,609 DEBUG ==> yd : 2022-12-31, td: 2023-01-01, cd: 2023-01-01 00:04:32, qcd: 2023-01-01 00:03:32, count:0
2023-01-01 00:06:32,715 DEBUG ==> yd : 2022-12-31, td: 2023-01-01, cd: 2023-01-01 00:05:32, qcd: 2023-01-01 00:04:32, count:0
2023-01-01 00:07:32,523 DEBUG ==> yd : 2022-12-31, td: 2023-01-01, cd: 2023-01-01 00:06:32, qcd: 2023-01-01 00:05:32, count:0
2023-01-01 00:08:32,521 DEBUG ==> yd : 2022-12-31, td: 2023-01-01, cd: 2023-01-01 00:07:32, qcd: 2023-01-01 00:06:32, count:0
2023-01-01 00:09:32,820 DEBUG ==> yd : 2022-12-31, td: 2023-01-01, cd: 2023-01-01 00:08:32, qcd: 2023-01-01 00:07:32, count:0
2023-01-01 00:10:32,524 DEBUG ==> yd : 2022-12-31, td: 2023-01-01, cd: 2023-01-01 00:09:32, qcd: 2023-01-01 00:08:32, count:0
2023-01-01 00:11:32,494 DEBUG ==> yd : 2022-12-31, td: 2023-01-01, cd: 2023-01-01 00:10:32, qcd: 2023-01-01 00:09:32, count:0
2023-01-01 00:12:32,557 DEBUG ==> yd : 2022-12-31, td: 2023-01-01, cd: 2023-01-01 00:11:32, qcd: 2023-01-01 00:10:32, count:0
2023-01-01 00:13:32,753 DEBUG ==> yd : 2022-12-31, td: 2023-01-01, cd: 2023-01-01 00:12:32, qcd: 2023-01-01 00:11:32, count:0
2023-01-01 00:14:32,789 DEBUG ==> yd : 2022-12-31, td: 2023-01-01, cd: 2023-01-01 00:13:32, qcd: 2023-01-01 00:12:32, count:0
2023-01-01 00:15:32,768 DEBUG ==> yd : 2022-12-31, td: 2023-01-01, cd: 2023-01-01 00:14:32, qcd: 2023-01-01 00:13:32, count:0
2023-01-01 00:16:32,536 DEBUG ==> yd : 2022-12-31, td: 2023-01-01, cd: 2023-01-01 00:15:32, qcd: 2023-01-01 00:14:32, count:0
2023-01-01 00:17:32,525 DEBUG ==> yd : 2022-12-31, td: 2023-01-01, cd: 2023-01-01 00:16:32, qcd: 2023-01-01 00:15:32, count:0
2023-01-01 00:18:32,667 DEBUG ==> yd : 2022-12-31, td: 2023-01-01, cd: 2023-01-01 00:17:32, qcd: 2023-01-01 00:16:32, count:0
2023-01-01 00:19:32,548 DEBUG ==> yd : 2022-12-31, td: 2023-01-01, cd: 2023-01-01 00:18:32, qcd: 2023-01-01 00:17:32, count:0
2023-01-01 00:20:32,542 DEBUG ==> yd : 2022-12-31, td: 2023-01-01, cd: 2023-01-01 00:19:32, qcd: 2023-01-01 00:18:32, count:0
