2023-10-03 00:00:33,274 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-02 23:59:32, qcd: 2023-10-02 23:58:32, count:0
2023-10-03 00:01:32,481 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:00:32, qcd: 2023-10-02 23:59:32, count:0
2023-10-03 00:02:32,239 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:01:32, qcd: 2023-10-03 00:00:32, count:0
2023-10-03 00:03:32,534 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:02:31, qcd: 2023-10-03 00:01:31, count:0
2023-10-03 00:04:32,479 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:03:32, qcd: 2023-10-03 00:02:32, count:0
2023-10-03 00:05:32,356 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:04:32, qcd: 2023-10-03 00:03:32, count:0
2023-10-03 00:06:32,676 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:05:32, qcd: 2023-10-03 00:04:32, count:0
2023-10-03 00:07:32,739 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:06:32, qcd: 2023-10-03 00:05:32, count:0
2023-10-03 00:08:32,409 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:07:32, qcd: 2023-10-03 00:06:32, count:0
2023-10-03 00:09:32,678 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:08:32, qcd: 2023-10-03 00:07:32, count:0
2023-10-03 00:10:32,543 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:09:32, qcd: 2023-10-03 00:08:32, count:0
2023-10-03 00:11:32,485 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:10:32, qcd: 2023-10-03 00:09:32, count:0
2023-10-03 00:12:32,875 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:11:32, qcd: 2023-10-03 00:10:32, count:0
2023-10-03 00:13:32,490 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:12:32, qcd: 2023-10-03 00:11:32, count:0
2023-10-03 00:14:32,487 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:13:32, qcd: 2023-10-03 00:12:32, count:0
2023-10-03 00:15:32,724 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:14:32, qcd: 2023-10-03 00:13:32, count:0
2023-10-03 00:16:32,461 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:15:32, qcd: 2023-10-03 00:14:32, count:0
2023-10-03 00:17:32,299 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:16:32, qcd: 2023-10-03 00:15:32, count:0
2023-10-03 00:18:32,466 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:17:31, qcd: 2023-10-03 00:16:31, count:0
2023-10-03 00:19:32,660 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:18:32, qcd: 2023-10-03 00:17:32, count:0
2023-10-03 00:20:32,731 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:19:32, qcd: 2023-10-03 00:18:32, count:0
2023-10-03 00:21:32,535 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:20:32, qcd: 2023-10-03 00:19:32, count:0
2023-10-03 00:22:32,505 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:21:32, qcd: 2023-10-03 00:20:32, count:0
2023-10-03 00:23:32,458 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:22:32, qcd: 2023-10-03 00:21:32, count:0
2023-10-03 00:24:32,453 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:23:32, qcd: 2023-10-03 00:22:32, count:0
2023-10-03 00:25:32,561 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:24:32, qcd: 2023-10-03 00:23:32, count:0
2023-10-03 00:26:32,777 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:25:32, qcd: 2023-10-03 00:24:32, count:0
2023-10-03 00:27:32,522 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:26:32, qcd: 2023-10-03 00:25:32, count:0
2023-10-03 00:28:32,363 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:27:32, qcd: 2023-10-03 00:26:32, count:0
2023-10-03 00:29:32,410 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:28:32, qcd: 2023-10-03 00:27:32, count:0
2023-10-03 00:30:32,420 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:29:32, qcd: 2023-10-03 00:28:32, count:0
2023-10-03 00:31:32,401 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:30:32, qcd: 2023-10-03 00:29:32, count:0
2023-10-03 00:32:32,057 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:31:32, qcd: 2023-10-03 00:30:32, count:0
2023-10-03 00:33:32,489 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:32:31, qcd: 2023-10-03 00:31:31, count:0
2023-10-03 00:34:32,836 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:33:32, qcd: 2023-10-03 00:32:32, count:0
2023-10-03 00:35:32,512 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:34:32, qcd: 2023-10-03 00:33:32, count:0
2023-10-03 00:36:32,556 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:35:32, qcd: 2023-10-03 00:34:32, count:0
2023-10-03 00:37:32,473 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:36:32, qcd: 2023-10-03 00:35:32, count:0
2023-10-03 00:38:32,845 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:37:32, qcd: 2023-10-03 00:36:32, count:0
2023-10-03 00:39:32,502 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:38:32, qcd: 2023-10-03 00:37:32, count:0
2023-10-03 00:40:32,526 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:39:32, qcd: 2023-10-03 00:38:32, count:0
2023-10-03 00:41:32,504 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:40:32, qcd: 2023-10-03 00:39:32, count:0
2023-10-03 00:42:32,440 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:41:32, qcd: 2023-10-03 00:40:32, count:0
2023-10-03 00:43:32,456 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:42:32, qcd: 2023-10-03 00:41:32, count:0
2023-10-03 00:44:32,515 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:43:32, qcd: 2023-10-03 00:42:32, count:0
2023-10-03 00:45:32,451 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:44:32, qcd: 2023-10-03 00:43:32, count:0
2023-10-03 00:46:32,872 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:45:32, qcd: 2023-10-03 00:44:32, count:0
2023-10-03 00:47:32,519 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:46:32, qcd: 2023-10-03 00:45:32, count:0
2023-10-03 00:48:32,743 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:47:32, qcd: 2023-10-03 00:46:32, count:0
2023-10-03 00:49:32,759 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:48:32, qcd: 2023-10-03 00:47:32, count:0
2023-10-03 00:50:32,528 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:49:32, qcd: 2023-10-03 00:48:32, count:0
2023-10-03 00:51:32,822 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:50:32, qcd: 2023-10-03 00:49:32, count:0
2023-10-03 00:52:32,427 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:51:32, qcd: 2023-10-03 00:50:32, count:0
2023-10-03 00:53:32,833 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:52:32, qcd: 2023-10-03 00:51:32, count:0
2023-10-03 00:54:32,476 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:53:32, qcd: 2023-10-03 00:52:32, count:0
2023-10-03 00:55:32,494 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:54:32, qcd: 2023-10-03 00:53:32, count:0
2023-10-03 00:56:32,770 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:55:32, qcd: 2023-10-03 00:54:32, count:0
2023-10-03 00:57:32,458 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:56:32, qcd: 2023-10-03 00:55:32, count:0
2023-10-03 00:58:32,694 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:57:32, qcd: 2023-10-03 00:56:32, count:0
2023-10-03 00:59:32,447 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:58:32, qcd: 2023-10-03 00:57:32, count:0
2023-10-03 01:00:33,072 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 00:59:32, qcd: 2023-10-03 00:58:32, count:0
2023-10-03 01:01:32,612 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 01:00:32, qcd: 2023-10-03 00:59:32, count:0
2023-10-03 01:02:32,149 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 01:01:32, qcd: 2023-10-03 01:00:32, count:0
2023-10-03 01:03:32,592 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 01:02:31, qcd: 2023-10-03 01:01:31, count:0
2023-10-03 01:04:32,532 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 01:03:32, qcd: 2023-10-03 01:02:32, count:0
2023-10-03 01:05:32,806 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 01:04:32, qcd: 2023-10-03 01:03:32, count:0
2023-10-03 01:06:32,419 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 01:05:32, qcd: 2023-10-03 01:04:32, count:0
2023-10-03 01:07:32,491 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 01:06:32, qcd: 2023-10-03 01:05:32, count:0
2023-10-03 01:08:32,500 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 01:07:32, qcd: 2023-10-03 01:06:32, count:0
2023-10-03 01:09:32,804 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 01:08:32, qcd: 2023-10-03 01:07:32, count:0
2023-10-03 01:10:32,753 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 01:09:32, qcd: 2023-10-03 01:08:32, count:0
2023-10-03 01:11:32,438 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 01:10:32, qcd: 2023-10-03 01:09:32, count:0
2023-10-03 01:12:32,445 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 01:11:32, qcd: 2023-10-03 01:10:32, count:0
2023-10-03 01:13:32,483 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 01:12:32, qcd: 2023-10-03 01:11:32, count:0
2023-10-03 01:14:32,483 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 01:13:32, qcd: 2023-10-03 01:12:32, count:0
2023-10-03 01:15:32,511 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 01:14:32, qcd: 2023-10-03 01:13:32, count:0
2023-10-03 01:16:32,478 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 01:15:32, qcd: 2023-10-03 01:14:32, count:0
2023-10-03 01:17:32,027 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 01:16:32, qcd: 2023-10-03 01:15:32, count:0
2023-10-03 01:18:32,541 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 01:17:31, qcd: 2023-10-03 01:16:31, count:0
2023-10-03 01:19:32,802 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 01:18:32, qcd: 2023-10-03 01:17:32, count:0
2023-10-03 01:20:32,386 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 01:19:32, qcd: 2023-10-03 01:18:32, count:0
2023-10-03 01:21:32,498 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 01:20:32, qcd: 2023-10-03 01:19:32, count:0
2023-10-03 01:22:32,431 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 01:21:32, qcd: 2023-10-03 01:20:32, count:0
2023-10-03 01:23:32,473 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 01:22:32, qcd: 2023-10-03 01:21:32, count:0
2023-10-03 01:24:32,342 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 01:23:32, qcd: 2023-10-03 01:22:32, count:0
2023-10-03 01:25:32,756 DEBUG ==> yd : 2023-10-02, td: 2023-10-03, cd: 2023-10-03 01:24:32, qcd: 2023-10-03 01:23:32, count:0
